,선명,역명,도로명주소,latlon,name
929,인천1호선,송도달빛축제공원,인천광역시 연수구 송도동 340번지,"(37.4073661874121, 126.625722248644)",인천1호선 송도달빛축제공원
930,인천1호선,신연수,인천광역시 연수구 경원대로 지하 368,"(37.4179545547451, 126.693854473218)",인천1호선 신연수
931,인천1호선,예술회관,인천광역시 남동구 예술로 지하 172,"(37.449445911109, 126.701163347511)",인천1호선 예술회관
932,인천1호선,원인재,인천광역시 연수구 경원대로 지하 285,"(37.4121078839743, 126.68762757215)",인천1호선 원인재
933,인천1호선,인천대입구,인천광역시 연수구 인천타워대로 지하 155,"(37.3860462639967, 126.639388868455)",인천1호선 인천대입구
934,인천1호선,인천시청,인천광역시 남동구 예술로 지하 264,"(37.4574194008354, 126.702342121444)",인천1호선 인천시청
935,인천1호선,인천터미널,인천광역시 미추홀구 예술로 지하 85,"(37.4419049500121, 126.699690868667)",인천1호선 인천터미널
936,인천1호선,임학,인천광역시 계양구 장제로 지하 875,"(37.545061848005, 126.738623134693)",인천1호선 임학
937,인천1호선,작전,인천광역시 계양구 계양대로 지하 73,"(37.5303126519591, 126.722569611095)",인천1호선 작전
938,인천1호선,지식정보단지,인천광역시 연수구 인천타워대로 지하 57,"(37.3781203711755, 126.645382938849)",인천1호선 지식정보단지
939,인천1호선,캠퍼스타운,인천광역시 연수구 송도국제대로 지하 66,"(37.3883566734466, 126.662186746942)",인천1호선 캠퍼스타운
940,인천1호선,테크노파크,인천광역시 연수구 송도국제대로 지하 150,"(37.3823969521136, 126.656518754327)",인천1호선 테크노파크
941,인천2호선,가재울,인천광역시 서구 열우물로 252,"(37.4841262397417, 126.683849979619)",인천2호선 가재울
942,인천2호선,가정,인천광역시 서구 봉오대로 234,"(37.5247080926327, 126.675285050218)",인천2호선 가정
943,인천2호선,가정중앙시장,인천광역시 서구 가남로 400,"(37.5175778857213, 126.676839956398)",인천2호선 가정중앙시장
944,인천2호선,검단사거리,인천광역시 서구 검단로 473,"(37.6016749830195, 126.656458486687)",인천2호선 검단사거리
945,인천2호선,검단오류,인천광역시 서구 검단로 187,"(37.5949667216833, 126.627967052742)",인천2호선 검단오류
946,인천2호선,검바위,인천광역시 서구 서곶로 492,"(37.5612279500069, 126.677544292945)",인천2호선 검바위
947,인천2호선,검암,인천광역시 서구 검바위로 4,"(37.5687914198721, 126.675472176848)",인천2호선 검암
948,인천2호선,남동구청,인천광역시 남동구 인주대로 지하 889,"(37.4481719165185, 126.736636415052)",인천2호선 남동구청
949,인천2호선,독정,인천광역시 서구 서곶로 760,"(37.5849694794367, 126.675983102846)",인천2호선 독정
950,인천2호선,마전,인천광역시 서구 완정로 68,"(37.597725203253, 126.667136991301)",인천2호선 마전
951,인천2호선,만수,인천광역시 남동구 구월로 지하 367,"(37.4549623765074, 126.731903680547)",인천2호선 만수
952,인천2호선,모래내시장,인천광역시 남동구 구월로 지하 255,"(37.4558796820132, 126.719514236013)",인천2호선 모래내시장
953,인천2호선,서구청,인천광역시 서구 서곶로 294,"(37.5439541574542, 126.676845402988)",인천2호선 서구청
954,인천2호선,서부여성회관,인천광역시 서구 가석로 169,"(37.5002517272341, 126.675853748671)",인천2호선 서부여성회관
955,인천2호선,석남,인천광역시 서구 가석로 257,"(37.5070671007297, 126.6762537219)",인천2호선 석남
956,인천2호선,석바위시장,인천광역시 미추홀구 구월로 19,"(37.457821717656, 126.69246050161)",인천2호선 석바위시장
957,인천2호선,석천사거리,인천광역시 남동구 구월로 지하 181,"(37.4567800292332, 126.710496633123)",인천2호선 석천사거리
958,인천2호선,시민공원,인천광역시 미추홀구 경인로 371,"(37.4583980288288, 126.681082250344)",인천2호선 시민공원
959,인천2호선,아시아드경기장,인천광역시 서구 서곶로 382,"(37.5513370579353, 126.677096559118)",인천2호선 아시아드경기장
960,인천2호선,완정,인천광역시 서구 원당대로 650,"(37.5929192282534, 126.673029692589)",인천2호선 완정
961,인천2호선,왕길,인천광역시 서구 검단로 323,"(37.5952638428651, 126.642655635516)",인천2호선 왕길
962,인천2호선,운연,인천광역시 남동구 매소홀로 1229,"(37.4396370540864, 126.759804339843)",인천2호선 운연
963,인천2호선,인천가좌,인천광역시 서구 가석로 67,"(37.4900776266311, 126.675272757558)",인천2호선 인천가좌
964,인천2호선,인천대공원,인천광역시 남동구 수인로 3677,"(37.4485356440421, 126.752687902408)",인천2호선 인천대공원
965,인천2호선,인천시청,인천광역시 남동구 구월로 지하 99,"(37.456880855068, 126.701301607114)",인천2호선 인천시청
966,인천2호선,주안,인천광역시 미추홀구 주안로 지하 91-1,"(37.464767076602, 126.679517004054)",인천2호선 주안
967,인천2호선,주안국가산단,인천광역시 서구 방축로 343,"(37.4740870466326, 126.681231524183)",인천2호선 주안국가산단
968,7호선,까치울,경기도 부천시 길주로 626,"(37.506199783967, 126.811398277418)",7호선 까치울
969,7호선,부천시청,경기도 부천시 길주로 202,"(37.5046422084139, 126.764060373737)",7호선 부천시청
970,7호선,부천종합운동장,경기도 부천시 길주로 502,"(37.5054832436047, 126.797430023467)",7호선 부천종합운동장
971,7호선,부평구청,경기도 부천시 길주로 189,"(37.5051876128505, 126.763578220445)",7호선 부평구청
972,7호선,상동,경기도 부천시 길주로 104,"(37.5058098548262, 126.753186951602)",7호선 상동
973,7호선,신중동,경기도 부천시 길주로 314,"(37.5029721503132, 126.776499055771)",7호선 신중동
974,7호선,춘의,경기도 부천시 길주로 406,"(37.5036440878389, 126.786866385135)",7호선 춘의
975,1호선,가능,경기도 의정부시 평화로 633,"(37.7483685951812, 127.044220735748)",1호선 가능
976,1호선,가산디지털단지,서울특별시 금천구 벚꽃로 309,"(37.4815957375443, 126.882559483336)",1호선 가산디지털단지
977,1호선,간석,인천광역시 남동구 석정로 522-14,"(37.4646879052409, 126.693451172704)",1호선 간석
978,1호선,개봉,서울특별시 구로구 경인로40길 47,"(37.4945222528654, 126.859102583368)",1호선 개봉
979,1호선,관악,경기도 안양시 만안구 경수대로1273번길 46,"(37.4188017578979, 126.909121118476)",1호선 관악
980,1호선,광명,경기도 광명시 광명역로 21,"(37.4163635638303, 126.884877197434)",1호선 광명
981,1호선,광운대,노원구 석계로 98-2,"(37.6230335564713, 127.06176348127)",1호선 광운대
982,1호선,구로,서울특별시 구로구 구로중앙로 174,"(37.5024345090279, 126.881491595821)",1호선 구로
983,1호선,구일,서울시 구로구 구일로 133,"(37.4963911827294, 126.869920428658)",1호선 구일
984,1호선,군포,경기도 군포시 군포역1길 27  ,"(37.354076121748, 126.948484962089)",1호선 군포
